function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
extract.py:56(retrieve_accumulation_features),5000,20,full,5000,0.13125399999999998,2.6250799999999996e-05,28.166667,0.0056333334
extract.py:183(all_features),5000,20,full,5001,0.36930199999999996,7.384563087382522e-05,34.754726999999995,0.006949555488902219
extract.py:14(<module>),5000,20,full,1,2.4999999999999998e-05,2.4999999999999998e-05,0.8785029999999999,0.8785029999999999
extract.py:33(build_neighborhood),5000,20,full,5000,0.02878,5.756e-06,1.0995409999999999,0.00021990819999999998
__init__.py:4(<module>),5000,20,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,20,full,1,0.002299,0.002299,25.147198,25.147198
io.py:82(write_features),5000,20,full,1,0.030768,0.030768,35.233201,35.233201
io.py:5(<module>),5000,20,full,1,1.1e-05,1.1e-05,0.020680999999999998,0.020680999999999998
features.py:12(accumulation_2d_neighborhood),50000,50,full,1,0.000153,0.000153,0.069322,0.069322
features.py:54(normalized_eigenvalues),50000,50,full,100000,0.575256,5.7525599999999995e-06,1.111851,1.111851e-05
features.py:72(triangle_variance_space),50000,50,full,50000,0.359471,7.18942e-06,0.8788229999999999,1.7576459999999997e-05
features.py:115(compute_3D_features),50000,50,full,50000,0.657552,1.3151040000000001e-05,2.001366,4.002732e-05
features.py:148(compute_2D_features),50000,50,full,50000,0.260648,5.21296e-06,0.42930999999999997,8.5862e-06
features.py:168(compute_3D_properties),50000,50,full,50000,0.421178,8.42356e-06,4.588976,9.177952e-05
features.py:211(<listcomp>),50000,50,full,50000,5.620621,0.00011241242,5.920872,0.00011841744
features.py:195(compute_2D_properties),50000,50,full,50000,0.351419,7.02838e-06,6.388285,0.0001277657
features.py:218(verticality_coefficient),50000,50,full,50000,0.15243299999999999,3.04866e-06,0.17637999999999998,3.5275999999999995e-06
features.py:6(<module>),50000,50,full,1,6e-06,6e-06,0.22286899999999998,0.22286899999999998
extract.py:56(retrieve_accumulation_features),50000,50,full,50000,1.306746,2.613492e-05,287.672456,0.00575344912
extract.py:183(all_features),50000,50,full,50001,3.697479,7.394810103797924e-05,358.037473,0.0071606062478750425
extract.py:14(<module>),50000,50,full,1,2.2e-05,2.2e-05,0.63664,0.63664
extract.py:33(build_neighborhood),50000,50,full,50000,0.27449,5.4898e-06,14.057929,0.00028115858
__init__.py:4(<module>),50000,50,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),50000,50,full,1,0.001869,0.001869,22.746695,22.746695
io.py:82(write_features),50000,50,full,1,0.29268,0.29268,362.65992,362.65992
io.py:5(<module>),50000,50,full,1,9.999999999999999e-06,9.999999999999999e-06,0.013897999999999999,0.013897999999999999
features.py:54(normalized_eigenvalues),10000,20,alphabeta,10000,0.062983,6.2982999999999995e-06,0.134759,1.34759e-05
features.py:72(triangle_variance_space),10000,20,alphabeta,10000,0.063752,6.3752e-06,0.198511,1.98511e-05
features.py:6(<module>),10000,20,alphabeta,1,1.1e-05,1.1e-05,0.255708,0.255708
extract.py:81(alphabeta_features),10000,20,alphabeta,10001,0.312476,3.1244475552444755e-05,6.564673,0.0006564016598340166
extract.py:14(<module>),10000,20,alphabeta,1,2.3e-05,2.3e-05,0.7601509999999999,0.7601509999999999
extract.py:33(build_neighborhood),10000,20,alphabeta,10000,0.046473999999999994,4.6474e-06,2.0083189999999997,0.00020083189999999998
__init__.py:4(<module>),10000,20,alphabeta,1,1e-06,1e-06,1e-06,1e-06
